detector,descriptor,img_id,ttc_camera,ttc_lidar,offset_t,offset_p,camera_time,lidar_time
BRISK,FREAK,0003,16.7267,13.0901,3.63659,0.243929,0.393216,36.0448
BRISK,FREAK,0004,11.8827,10.5159,1.36672,0.122037,0.262144,37.4866
BRISK,FREAK,0005,13.1447,11.6834,1.46127,0.117711,0.262144,42.5984
BRISK,FREAK,0006,12.4547,14.3362,1.88155,0.140462,0.393216,42.0741
BRISK,FREAK,0007,13.0134,23.3809,10.3674,0.569728,0.393216,38.5352
BRISK,FREAK,0008,13.9657,21.8421,7.8764,0.439927,0.393216,37.3555
BRISK,FREAK,0009,14.7536,13.7378,1.01583,0.0713082,0.393216,35.7827
BRISK,FREAK,0010,13.4012,18.0818,4.68052,0.297337,0.393216,34.2098
BRISK,FREAK,0011,12.7057,16.5097,3.80401,0.260411,0.393216,35.6516
BRISK,FREAK,0012,14.0859,12.5438,1.5421,0.115818,0.393216,38.142
BRISK,FREAK,0013,13.473,9.66153,3.81144,0.329503,0.393216,41.6809
BRISK,FREAK,0014,11.9778,10.0954,1.88243,0.170562,0.524288,42.9916
BRISK,FREAK,0015,11.2486,9.53099,1.71761,0.165317,0.393216,42.7295
BRISK,FREAK,0016,11.4606,8.45407,3.00656,0.301944,0.393216,41.6809
BRISK,FREAK,0017,10.2571,9.55324,0.703815,0.0710555,0.393216,40.3702
BRISK,FREAK,0018,12.1527,9.30116,2.85154,0.26583,0.393216,41.812
BRISK,SIFT,0001,11.4982,12.9722,1.47397,0.12047,0.393216,42.8605
BRISK,SIFT,0002,15.2793,12.6181,2.66125,0.190788,0.524288,42.0741
BRISK,SIFT,0003,15.9301,13.0901,2.83999,0.195725,0.786432,36.9623
BRISK,SIFT,0004,13.256,10.5159,2.74011,0.230533,0.393216,38.0109
BRISK,SIFT,0005,19.7567,11.6834,8.07327,0.513566,0.393216,42.9916
BRISK,SIFT,0006,23.1685,14.3362,8.83224,0.470994,0.524288,42.0741
BRISK,SIFT,0007,16.3623,23.3809,7.01858,0.353196,0.524288,40.108
BRISK,SIFT,0008,11.648,21.8421,10.1941,0.608784,0.393216,36.5691
BRISK,SIFT,0009,12.5142,13.7378,1.22352,0.0932138,0.393216,35.5205
BRISK,SIFT,0010,12.2954,18.0818,5.78638,0.38097,0.524288,34.0787
BRISK,SIFT,0011,11.4045,16.5097,5.10519,0.365777,0.524288,35.2584
BRISK,SIFT,0012,12.0135,12.5438,0.530378,0.0431951,0.786432,39.8459
BRISK,SIFT,0013,11.1171,9.66153,1.45556,0.140102,0.786432,40.8945
BRISK,SIFT,0014,10.8821,10.0954,0.786676,0.0750018,1.17965,43.3848
BRISK,SIFT,0015,10.8996,9.53099,1.36864,0.133979,0.917504,41.2877
BRISK,SIFT,0016,10.7959,8.45407,2.34185,0.243309,0.524288,42.4673
BRISK,SIFT,0017,10.7949,9.55324,1.2417,0.122046,0.524288,40.5012
BRISK,SIFT,0018,11.5601,9.30116,2.25896,0.21657,0.65536,41.2877
ORB,BRISK,0001,10.3692,12.9722,2.60297,0.223035,0.131072,42.5984
ORB,BRISK,0002,18.8691,12.6181,6.25103,0.397052,0.131072,42.3363
ORB,BRISK,0003,19.4731,13.0901,6.38303,0.392039,0.393216,36.5691
ORB,BRISK,0004,13.9934,10.5159,3.47743,0.283765,0.262144,38.5352
ORB,BRISK,0005,-inf,11.6834,inf,-nan,0.262144,42.7295
ORB,BRISK,0006,-inf,14.3362,inf,-nan,0.262144,41.5498
ORB,BRISK,0007,9.49823,23.3809,13.8826,0.844466,0.262144,39.5837
ORB,BRISK,0008,9.81323,21.8421,12.0289,0.75999,0.131072,37.6177
ORB,BRISK,0009,10.453,13.7378,3.28477,0.271572,0.131072,36.7002
ORB,BRISK,0010,10.5868,18.0818,7.49492,0.522866,0.131072,34.2098
ORB,BRISK,0011,9.09218,16.5097,7.41754,0.579452,0.262144,36.5691
ORB,BRISK,0012,-inf,12.5438,inf,-nan,0.262144,38.4041
ORB,BRISK,0013,-inf,9.66153,inf,-nan,0.393216,39.5837
ORB,BRISK,0014,9.81946,10.0954,0.275955,0.0277135,0.262144,42.9916
ORB,BRISK,0015,16.1076,9.53099,6.57658,0.513022,0.262144,42.0741
ORB,BRISK,0016,19.0654,8.45407,10.6113,0.771186,0.393216,42.3363
ORB,BRISK,0017,15.2182,9.55324,5.66499,0.45738,0.262144,40.8945
ORB,BRISK,0018,32.1913,9.30116,22.8901,1.10334,0.262144,42.4673
ORB,BRIEF,0001,12.6465,12.9722,0.325702,0.025427,0.131072,42.5984
ORB,BRIEF,0002,9.52789,12.6181,3.0902,0.279076,0.131072,41.6809
ORB,BRIEF,0003,7.8922,13.0901,5.19788,0.495454,0.131072,36.9623
ORB,BRIEF,0004,13.5904,10.5159,3.07448,0.255077,0.262144,39.5837
ORB,BRIEF,0005,17.7514,11.6834,6.06801,0.412302,0.393216,42.0741
