detector,descriptor,img_id,ttc_camera,ttc_lidar,offset_t,offset_p,camera_time,lidar_time
SHITOMASI,BRIEF,0018,10.6231,9.30116,1.32193,0.132696,0.262144,41.5498
SHITOMASI,ORB,0001,10.2033,12.9722,2.76881,0.238943,0.131072,44.3023
SHITOMASI,ORB,0002,11.3111,12.6181,1.30703,0.109242,0.131072,41.4188
SHITOMASI,ORB,0003,11.5446,13.0901,1.54546,0.12547,0.131072,38.5352
SHITOMASI,ORB,0004,11.6526,10.5159,1.13663,0.102545,0.262144,38.6662
SHITOMASI,ORB,0005,12.3946,11.6834,0.711211,0.0590755,0.131072,42.9916
SHITOMASI,ORB,0006,13.0121,14.3362,1.3241,0.0968324,0.262144,41.812
SHITOMASI,ORB,0007,13.4766,23.3809,9.90427,0.537436,0.262144,39.1905
SHITOMASI,ORB,0008,12.7954,21.8421,9.04672,0.522366,0.131072,36.9623
SHITOMASI,ORB,0009,11.6407,13.7378,2.09701,0.165259,0.262144,34.9962
